
Experiment Name,Time Stamp,Samples Seen,Spatial Dim,Patch Size,CV Folds,WBC IoU,Merge-2D-to-3D IoU,fold_0 patient cl_1 : AUC,fold_0 patient cl_1 : AP_0,fold_0 rois cl_1 : AP_0,fold_0 patient cl_2 : AUC,fold_0 patient cl_2 : AP_0,fold_0 rois cl_2 : AP_0,fold_0 patient cl_3 : AUC,fold_0 patient cl_3 : AP_0,fold_0 rois cl_3 : AP_0,fold_0 patient cl_4 : AUC,fold_0 patient cl_4 : AP_0,fold_0 rois cl_4 : AP_0,average_foreground_roi : AUC,average_foreground_roi : AP_0,
exp3,03Dec25 18:10:55,82800,3D,160x160x24,[0],1e-05,N/A,0.523, 0.819, 0.283, 0.500, 0.089, 0.000, 0.500, 0.133, 0.000, 0.500, 0.156, 0.000, 0.000, 0.071, 

Experiment Name,Time Stamp,Samples Seen,Spatial Dim,Patch Size,CV Folds,WBC IoU,Merge-2D-to-3D IoU,fold_0 patient cl_1 : AUC,fold_0 patient cl_1 : AP_0,fold_0 rois cl_1 : AP_0,fold_0 patient cl_2 : AUC,fold_0 patient cl_2 : AP_0,fold_0 rois cl_2 : AP_0,fold_0 patient cl_3 : AUC,fold_0 patient cl_3 : AP_0,fold_0 rois cl_3 : AP_0,fold_0 patient cl_4 : AUC,fold_0 patient cl_4 : AP_0,fold_0 rois cl_4 : AP_0,average_foreground_roi : AUC,average_foreground_roi : AP_0,
exp3,03Dec25 20:54:11,20700,3D,160x160x24,[0],1e-05,N/A,0.514, 0.822, 0.081, 0.500, 0.089, 0.000, 0.500, 0.133, 0.000, 0.500, 0.156, 0.000, 0.000, 0.020, 

Experiment Name,Time Stamp,Samples Seen,Spatial Dim,Patch Size,CV Folds,WBC IoU,Merge-2D-to-3D IoU,fold_1 patient cl_1 : AUC,fold_1 patient cl_1 : AP_0,fold_1 rois cl_1 : AP_0,fold_1 patient cl_2 : AUC,fold_1 patient cl_2 : AP_0,fold_1 rois cl_2 : AP_0,fold_1 patient cl_3 : AUC,fold_1 patient cl_3 : AP_0,fold_1 rois cl_3 : AP_0,fold_1 patient cl_4 : AUC,fold_1 patient cl_4 : AP_0,fold_1 rois cl_4 : AP_0,average_foreground_roi : AUC,average_foreground_roi : AP_0,
exp3,03Dec25 21:01:05,20700,3D,160x160x24,[1],1e-05,N/A,0.351, 0.728, 0.004, 0.500, 0.089, 0.000, 0.500, 0.133, 0.000, 0.598, 0.280, 0.000, 0.000, 0.001, 

Experiment Name,Time Stamp,Samples Seen,Spatial Dim,Patch Size,CV Folds,WBC IoU,Merge-2D-to-3D IoU,fold_2 patient cl_1 : AUC,fold_2 patient cl_1 : AP_0,fold_2 rois cl_1 : AP_0,fold_2 patient cl_2 : AUC,fold_2 patient cl_2 : AP_0,fold_2 rois cl_2 : AP_0,fold_2 patient cl_3 : AUC,fold_2 patient cl_3 : AP_0,fold_2 rois cl_3 : AP_0,fold_2 patient cl_4 : AUC,fold_2 patient cl_4 : AP_0,fold_2 rois cl_4 : AP_0,average_foreground_roi : AUC,average_foreground_roi : AP_0,
